institution,institution_full,institution_ror,dataset_id,doi,creator_order,given_name,family_name,author_name,orcid,pids,affiliation_source
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::1ac3fa5091f32bb8a83c2f5010f7b414,10.5281/zenodo.15754873,1,Kristina,Doležalová,Kristina Doležalová,0009-0006-4100-6339,"doi:10.5281/zenodo.15754872, doi:10.5281/zenodo.15754873",datacite
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::3d2c449c27fa87b13c919cda0d338023,10.5281/zenodo.10014218,4,Marcela,Starcová,Marcela Starcová,0009-0004-0139-0618,"doi:10.5281/zenodo.10014218, doi:10.5281/zenodo.10014219",datacite
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::3d2c449c27fa87b13c919cda0d338023,10.5281/zenodo.10014219,4,Marcela,Starcová,Marcela Starcová,0009-0004-0139-0618,"doi:10.5281/zenodo.10014218, doi:10.5281/zenodo.10014219",datacite
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::e7b635fb3a68e0e5b86019767b8cd9b0,10.5281/zenodo.5764172,3,Martin,Kuna,Martin Kuna,0000-0001-9244-8387,"doi:10.5281/zenodo.5764172, doi:10.5281/zenodo.5764173",datacite
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::e7b635fb3a68e0e5b86019767b8cd9b0,10.5281/zenodo.5764173,3,Martin,Kuna,Martin Kuna,0000-0001-9244-8387,"doi:10.5281/zenodo.5764172, doi:10.5281/zenodo.5764173",datacite
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::45a60bd2b7b685211cc1ae220a43b194,10.5281/zenodo.15705878,1,Miloslav,Chytráček,Miloslav Chytráček,0009-0008-9367-6419,"doi:10.5281/zenodo.15705878, doi:10.5281/zenodo.15705879",datacite
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::45a60bd2b7b685211cc1ae220a43b194,10.5281/zenodo.15705879,1,Miloslav,Chytráček,Miloslav Chytráček,0009-0008-9367-6419,"doi:10.5281/zenodo.15705878, doi:10.5281/zenodo.15705879",datacite
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,datacite_only::10.5281/zenodo.17276866,10.5281/zenodo.17276866,1,Nikola,Kostova,Nikola Kostova,0000-0001-8165-8370,doi:10.5281/zenodo.17276866,datacite_only
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::46db6092ba182efcf3b0a4fc6092d9ff,10.5281/zenodo.15774304,6,Petr,Kočár,Petr Kočár,0000-0002-0695-2913,"doi:10.5281/zenodo.15774304, doi:10.5281/zenodo.15774305",datacite
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::46db6092ba182efcf3b0a4fc6092d9ff,10.5281/zenodo.15774305,6,Petr,Kočár,Petr Kočár,0000-0002-0695-2913,"doi:10.5281/zenodo.15774304, doi:10.5281/zenodo.15774305",datacite
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::d9cc4a2c3c944eef8895ff0b9aa4f831,10.5281/zenodo.15774794,7,Petr,Kočár,Petr Kočár,0000-0002-0695-2913,"doi:10.5281/zenodo.15774794, doi:10.5281/zenodo.15774795",datacite
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::d9cc4a2c3c944eef8895ff0b9aa4f831,10.5281/zenodo.15774795,7,Petr,Kočár,Petr Kočár,0000-0002-0695-2913,"doi:10.5281/zenodo.15774794, doi:10.5281/zenodo.15774795",datacite
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,datacite_only::10.5281/zenodo.17711580,10.5281/zenodo.17711580,6,Petr,Kočár,Petr Kočár,0000-0002-0695-2913,doi:10.5281/zenodo.17711580,datacite_only
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,datacite_only::10.5281/zenodo.17711580,10.5281/zenodo.17711580,4,Samuel,Kertés,Samuel Kertés,0009-0003-6864-5139,doi:10.5281/zenodo.17711580,datacite_only
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::45a60bd2b7b685211cc1ae220a43b194,10.5281/zenodo.15705878,4,Zuzana,Golec Mírová,Zuzana Golec Mírová,0000-0002-7831-2093,"doi:10.5281/zenodo.15705878, doi:10.5281/zenodo.15705879",datacite
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::45a60bd2b7b685211cc1ae220a43b194,10.5281/zenodo.15705879,4,Zuzana,Golec Mírová,Zuzana Golec Mírová,0000-0002-7831-2093,"doi:10.5281/zenodo.15705878, doi:10.5281/zenodo.15705879",datacite
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::353b27e93e853fbc576ca903abc40722,10.5281/zenodo.6368000,1,,David Novák,,0000-0001-6592-6291,"doi:10.5281/zenodo.6368000, doi:10.5281/zenodo.6368001",datacite
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::353b27e93e853fbc576ca903abc40722,10.5281/zenodo.6368001,1,,David Novák,,0000-0001-6592-6291,"doi:10.5281/zenodo.6368000, doi:10.5281/zenodo.6368001",datacite
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::911680059a93d36794855cf6a3d4a847,10.5281/zenodo.7656837,5,,David Novák,,0000-0001-6592-6291,"doi:10.5281/zenodo.7656837, doi:10.5281/zenodo.7656838",datacite
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::911680059a93d36794855cf6a3d4a847,10.5281/zenodo.7656838,5,,David Novák,,0000-0001-6592-6291,"doi:10.5281/zenodo.7656837, doi:10.5281/zenodo.7656838",datacite
ASIO spol (Czechia),ASIO spol (Czechia),https://ror.org/04d41fm91,datacite_only::10.5281/zenodo.17220466,10.5281/zenodo.17220466,1,Marek,Holba,Marek Holba,,doi:10.5281/zenodo.17220466,datacite_only
ATEM,Studio of Ecological Models,https://ror.org/013rj3567,doi_dedup___::632c28ae6c9e090a8f345727def53e3e,10.5281/zenodo.10848970,8,Jan,Karel,Jan Karel,,"doi:10.5281/zenodo.10848970, doi:10.5281/zenodo.10848971",datacite
ATEM,Studio of Ecological Models,https://ror.org/013rj3567,doi_dedup___::632c28ae6c9e090a8f345727def53e3e,10.5281/zenodo.10848971,8,Jan,Karel,Jan Karel,,"doi:10.5281/zenodo.10848970, doi:10.5281/zenodo.10848971",datacite
ATEM,Studio of Ecological Models,https://ror.org/013rj3567,doi_dedup___::0d3beae857bd04d9042b6fee1a226369,10.5281/zenodo.10982835,8,Jan,Karel,Jan Karel,,"doi:10.5281/zenodo.10982835, doi:10.5281/zenodo.10982836",datacite
ATEM,Studio of Ecological Models,https://ror.org/013rj3567,doi_dedup___::0d3beae857bd04d9042b6fee1a226369,10.5281/zenodo.10982836,8,Jan,Karel,Jan Karel,,"doi:10.5281/zenodo.10982835, doi:10.5281/zenodo.10982836",datacite
